file_id,number_of_pages,pdf_location,txt_location,txt_content
104-10059-10026,48,/Users/furkandemir/Desktop/Thesis/pdf_files/41-50/104-10059-10026.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10059-10026.txt,
104-10059-10057,5,/Users/furkandemir/Desktop/Thesis/pdf_files/5/104-10059-10057.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10059-10057.txt,
104-10059-10099,9,/Users/furkandemir/Desktop/Thesis/pdf_files/6-10/104-10059-10099.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10059-10099.txt,
104-10059-10188,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10059-10188.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10059-10188.txt,
104-10059-10218,4,/Users/furkandemir/Desktop/Thesis/pdf_files/4/104-10059-10218.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10059-10218.txt,
104-10061-10053,4,/Users/furkandemir/Desktop/Thesis/pdf_files/4/104-10061-10053.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10061-10053.txt,
104-10061-10115,77,/Users/furkandemir/Desktop/Thesis/pdf_files/71-80/104-10061-10115.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10061-10115.txt,
104-10061-10132,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10061-10132.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10061-10132.txt,
104-10061-10181,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10061-10181.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10061-10181.txt,
104-10061-10207,33,/Users/furkandemir/Desktop/Thesis/pdf_files/31-40/104-10061-10207.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10061-10207.txt,
104-10061-10208,5,/Users/furkandemir/Desktop/Thesis/pdf_files/5/104-10061-10208.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10061-10208.txt,
104-10061-10214,3,/Users/furkandemir/Desktop/Thesis/pdf_files/3/104-10061-10214.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10061-10214.txt,
104-10061-10265,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10061-10265.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10061-10265.txt,
104-10061-10292,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10061-10292.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10061-10292.txt,
104-10061-10320,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10061-10320.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10061-10320.txt,
104-10061-10386,3,/Users/furkandemir/Desktop/Thesis/pdf_files/3/104-10061-10386.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10061-10386.txt,
